Year,mean_LT,min_LT,max_LT,sd_LT,median_LT,mode_LT,mean_TREASURY,min_TREASURY,max_TREASURY,sd_TREASURY,median_TREASURY,mode_TREASURY
2000,6.186852589641434,5.49,6.91,0.3079754116537016,6.16,5.97,6.230916334661354,5.52,6.97,0.31502056595103684,6.2,6.12
2001,5.599516129032258,4.9,6.01,0.21350309269189408,5.6,5.59,5.632177419354838,4.95,6.05,0.21343180266032438,5.635,5.61
2002,5.36084,4.62,6.01,0.40397584125945607,5.5,5.59,5.4316,4.72,6.05,0.38027764112204815,5.56,5.63
2003,4.804,3.95,5.37,0.315541225611236,4.845,4.81,4.95748,4.13,5.55,0.3167018310638521,4.99,4.92
2004,4.88684,4.42,5.47,0.25529102693540756,4.82,4.77,5.04436,4.61,5.61,0.2439973961280511,4.98,4.85
2005,4.56984,4.17,4.93,0.17993074973109832,4.5649999999999995,4.71,4.64416,4.25,5.01,0.1788593218932478,4.65,4.6
2006,4.9677999999999995,4.53,5.4,0.2388265321311667,4.95,4.77,4.99728,4.57,5.44,0.23853426584861084,4.98,4.91
2007,4.86804780876494,4.22,5.41,0.23327188794447404,4.88,4.91,4.909561752988048,4.29,5.44,0.21994591874211902,4.92,5
2008,4.2449402390438244,2.77,4.76,0.40708659571931755,4.35,4.35,4.359760956175299,2.86,4.86,0.4158797213491921,4.47,4.52
2009,3.9694000000000003,3.04,4.65,0.32826432928284827,4.03,4.2,4.11308,3.16,4.75,0.32796885198366926,4.17,4.14
2010,3.8801195219123508,3.12,4.55,0.40100621648220197,3.85,4.25,4.029482071713147,3.23,4.69,0.40876317187008293,3.99,4.43
